Age,Income,YearsWorked,Credible
24,1731,6,1
37,3091,10,1
32,2265,6,1
41,2684,0,0
50,3283,13,0
53,3528,0,0
53,3621,20,0
31,1876,1,0
59,3972,37,0
38,2683,18,1
48,3098,3,0
27,1923,11,1
34,2479,14,1
20,1527,0,1
64,4390,11,0
50,3339,8,0
24,1626,2,0
65,4407,45,0
55,3830,6,0
39,2730,13,1
56,4031,39,1
64,4500,0,1
51,3557,32,0
26,1627,3,0
16,794,0,0
54,3682,28,0
23,1883,4,1
35,2274,12,0
17,1580,0,1
60,4169,8,0
22,1519,4,0
32,2410,13,1
63,4099,5,0
38,2045,14,0
51,3153,32,0
27,1799,5,0
30,2144,9,1
16,1006,0,0
45,3222,0,1
25,1946,2,1
34,2669,2,1
55,4056,3,1
24,1563,5,0
16,1087,0,0
56,3610,36,0
44,2785,19,0
18,1234,1,0
59,4349,29,1
36,2530,3,1
62,4311,9,0
34,2687,13,1
56,3968,27,1
42,2716,18,0
53,3687,14,0
18,1313,0,1
41,3043,1,1
32,2552,4,1
41,2628,18,0
24,1411,3,0
36,2610,4,1
29,1896,2,0
64,4578,1,1
64,4500,48,1
25,1725,5,0
37,2658,14,1
28,2132,8,1
34,2551,5,1
50,3947,1,1
21,1436,4,0
39,2968,0,1
16,1172,0,1
27,1749,11,0
31,2149,5,0
30,2327,9,1
62,4276,37,0
21,1715,1,1
31,2349,11,1
65,4566,36,1
43,3033,25,1
47,3451,20,1
32,2394,3,1
24,1729,3,1
41,2834,1,0
34,2047,1,0
60,4558,16,1
42,3388,2,1
19,1253,0,0
61,4334,28,1
16,864,0,0
21,1346,4,0
50,3406,2,0
65,4510,46,0
52,3527,24,0
36,2385,5,0
60,3713,26,0
48,3644,16,1
36,2828,9,1
34,2129,13,0
51,3403,35,0
41,3191,4,1
44,2969,14,0
57,3873,41,0
33,2102,4,0
27,1874,11,0
62,4192,17,0
53,3535,31,0
43,3162,18,1
48,3569,15,1
23,1755,1,1
62,4107,30,0
58,3681,33,0
54,3958,3,1
49,3073,20,0
21,1171,3,0
30,2378,2,1
53,3673,12,0
40,2890,22,1
58,4192,10,1
48,3165,4,0
54,3912,1,1
23,1617,1,1
63,4511,16,1
38,2669,1,1
28,2069,9,1
52,3441,10,0
54,4144,32,1
17,1246,1,1
24,1647,4,0
59,4207,7,1
26,1678,6,0
58,4032,5,0
36,2230,8,0
45,3079,27,0
44,3090,26,1
61,4322,31,1
34,2407,15,1
50,3559,32,1
17,1280,0,1
63,4432,21,1
34,2088,10,0
61,4336,1,1
31,2341,11,1
39,2701,9,0
34,2572,4,1
23,1953,6,1
23,1750,0,1
43,3126,16,1
26,1920,1,1
55,3918,30,1
28,1787,11,0
35,2479,10,1
21,1706,1,1
51,3100,15,0
61,4053,14,0
48,3125,2,0
46,3030,25,0
48,3316,5,0
50,3807,13,1
59,3981,36,0
25,1873,0,1
37,2455,14,0
42,2924,12,0
54,3869,1,1
20,1766,4,1
35,2547,8,1
51,3461,0,0
57,4029,1,1
51,3810,1,1
47,3312,15,1
59,4235,1,1
39,2728,11,0
42,3076,19,1
25,2126,7,1
19,1298,2,0
40,2541,2,0
59,4459,19,1
26,1719,1,0
32,1898,1,0
39,2794,8,1
55,3876,8,1
52,3941,17,1
37,2622,19,1
30,1890,14,0
48,3225,24,0
50,3545,31,1
41,2635,12,0
30,2292,6,1
43,2913,8,0
62,4094,2,0
62,4195,4,0
25,1872,7,1
59,4285,18,1
30,1918,7,0
39,2971,3,1
35,2208,4,0
61,4254,32,0
60,4134,43,0
32,2309,16,1
35,2615,9,1
23,1606,2,0
29,2331,8,1
46,2888,16,0
32,2426,2,1
64,4319,33,0
42,2602,19,0
43,3245,19,1
31,2087,13,0
62,4344,1,1
21,1427,1,0
40,3224,22,1
48,3515,8,1
37,2557,6,0
46,2896,29,0
54,3874,28,1
52,3580,13,0
59,4084,22,0
51,3702,19,1
37,2945,3,1
49,3423,26,0
32,2291,10,1
57,4032,33,1
20,1157,0,0
18,1425,1,1
47,3439,16,1
37,2569,7,0
41,3071,10,1
49,3397,4,0
18,1355,0,1
18,986,0,0
64,4315,12,0
43,3164,0,1
27,1691,2,0
55,3970,24,1
38,2710,12,1
20,1355,2,0
29,1785,6,0
24,1656,0,0
33,2312,4,1
21,1366,0,0
37,2539,18,0
50,3536,29,1
39,2700,21,0
33,2510,4,1
16,1332,0,1
40,2680,3,0
25,1718,8,0
54,3847,21,1
44,3031,21,0
24,1820,5,1
57,4088,29,1
59,4451,25,1
37,2755,21,1
41,3053,16,1
44,2751,17,0
38,2597,21,0
18,1455,0,1
27,1754,0,0
48,3208,8,0
33,2214,9,0
49,3256,16,0
31,2337,1,1
57,4018,1,1
54,3494,34,0
22,1517,6,0
38,2443,17,0
57,4334,6,1
36,2276,5,0
58,3908,40,0
60,4595,20,1
62,4742,0,1
29,1704,5,0
32,2313,11,1
28,1851,10,0
18,1059,1,0
22,1623,4,1
48,3175,27,0
30,2306,6,1
54,4039,36,1
49,3245,26,0
22,1612,6,1
35,2601,15,1
57,3988,1,0
40,2710,13,0
28,1999,2,1
54,3826,19,1
36,2956,15,1
63,4407,38,0
47,3809,16,1
55,3709,8,0
60,4221,26,1
23,1487,4,0
47,3301,12,1
64,4570,37,1
21,1038,3,0
17,1051,0,0
35,2391,10,0
36,2571,17,1
16,727,0,0
53,3795,9,1
31,2297,2,1
63,4629,9,1
64,4688,2,1
47,3256,18,0
37,2560,4,0
17,1246,1,1
33,2378,8,1
56,4100,26,1
22,1632,3,1
19,1401,0,1
46,3410,8,1
41,2708,0,0
44,2922,0,0
64,4571,6,1
25,1589,6,0
28,2058,9,1
57,3851,9,0
24,1610,0,0
35,2418,19,0
40,2745,0,0
42,2927,7,0
23,1577,1,0
29,1674,1,0
26,2222,10,1
25,1535,9,0
48,3364,24,1
58,4266,8,1
36,2475,2,0
30,2336,3,1
41,2641,13,0
22,1429,4,0
24,1902,3,1
22,1635,4,1
41,2738,2,0
22,1596,6,1
37,2711,0,1
52,3850,10,1
47,3303,15,1
41,2587,4,0
22,1371,6,0
60,4430,44,1
28,1826,5,0
52,3707,25,1
38,2521,17,0
55,3908,8,1
19,1342,2,1
63,4423,10,1
16,806,0,0
20,1316,0,0
49,3364,4,0
42,2875,1,0
55,4045,39,1
50,3770,12,1
61,3997,12,0
44,3140,16,1
49,3535,8,1
65,4477,6,0
28,1840,8,0
54,3681,19,0
26,1682,4,0
57,4082,23,1
29,2095,2,1
35,2671,10,1
46,3161,26,0
43,3182,16,1
61,4194,4,0
39,2714,0,0
28,1773,0,0
45,2974,6,0
20,2015,3,1
31,2355,4,1
24,1730,3,1
35,2581,5,1
57,3834,29,0
39,2759,5,1
43,3191,5,1
52,3498,4,0
21,1485,2,1
38,2541,16,0
39,3001,21,1
23,1300,5,0
31,2181,11,1
52,3747,36,1
25,1955,7,1
53,3742,17,1
33,2401,17,1
60,4218,1,1
26,1738,9,0
20,1602,1,1
58,3836,41,0
63,4117,1,0
37,2669,8,1
46,2962,20,0
48,3236,10,0
42,3100,23,1
16,1325,0,1
48,3414,9,1
43,3288,27,1
51,3729,29,1
37,2339,11,0
58,3993,21,0
16,1572,0,1
28,2375,6,1
23,1266,5,0
40,2791,9,0
32,2306,1,1
44,3111,6,1
38,2374,22,0
50,3508,24,1
17,1365,0,1
16,1216,0,1
36,2340,18,0
46,2973,15,0
29,2018,3,0
31,2279,12,1
38,2568,11,0
34,2724,13,1
21,1720,4,1
59,4337,32,1
30,2093,4,0
31,2089,5,0
28,2260,7,1
17,1201,0,1
24,1463,2,0
23,1538,6,0
17,1010,0,0
61,4350,39,1
53,3660,14,0
16,1381,0,1
24,1924,6,1
64,4238,48,0
44,3128,28,1
35,2521,7,1
27,2038,6,1
20,1470,3,1
40,2921,22,1
62,4267,37,0
58,4217,17,1
23,1040,6,0
22,1917,6,1
25,1866,1,1
46,3355,28,1
25,1565,7,0
42,2775,15,0
16,1341,0,1
63,4796,35,1
54,3969,35,1
53,4058,7,1
24,1560,4,0
28,1785,5,0
56,3910,16,0
44,2907,16,0
43,3022,13,1
29,2136,13,1
33,2228,0,0
28,2042,1,1
40,2662,24,0
48,2921,29,0
44,3331,28,1
31,2318,8,1
42,2805,9,0
56,3778,39,0
56,4090,37,1
47,3296,29,1
24,2140,3,1
40,2344,24,0
51,3471,6,0
47,3092,6,0
62,4247,40,0
55,3404,33,0
18,1489,0,1
16,971,0,0
19,1394,3,1
62,4063,19,0
29,1949,5,0
65,4393,37,0
31,2332,11,1
30,2176,1,1
60,4860,25,1
30,2113,13,1
58,3891,10,0
57,3676,19,0
59,4119,21,0
39,2705,4,0
28,2047,11,1
20,1153,3,0
44,3187,1,1
63,4092,16,0
29,1896,8,0
32,2267,9,1
60,3929,16,0
24,1430,0,0
44,2969,7,0
56,3768,34,0
38,2482,9,0
34,2333,16,0
22,1672,6,1
42,3140,7,1
62,4414,14,1
51,3542,27,0
33,2220,16,0
42,3187,5,1
63,4097,44,0
65,4532,49,0
21,1541,5,1
58,3999,40,0
22,1931,2,1
63,4378,5,0
48,3135,11,0
21,1508,5,1
52,3720,1,1
40,2826,18,1
43,3156,2,1
46,3168,29,0
36,2651,5,1
33,2138,16,0
30,2151,9,1
35,2190,13,0
33,2408,5,1
43,2789,10,0
42,2900,16,0
43,2974,0,0
37,2455,3,0
47,3167,0,0
56,3809,0,0
28,2031,1,1
36,2461,10,0
52,3428,32,0
32,2366,12,1
39,2428,14,0
65,4403,19,0
17,982,0,0
29,2069,12,1
48,3259,31,0
49,3500,11,1
64,4060,13,0
47,3319,6,1
57,3848,23,0
50,3464,31,0
35,2721,2,1
35,2435,11,0
65,4365,3,0
63,4345,37,0
47,3344,23,1
40,3030,9,1
46,3404,6,1
16,1385,0,1
59,4105,7,0
61,4289,37,1
17,1397,1,1
25,1533,7,0
61,4378,24,1
27,2045,1,1
34,2126,4,0
60,4202,9,1
44,3111,24,1
20,1356,3,0
60,4373,18,1
35,2450,18,1
24,1496,6,0
18,1335,0,1
20,1189,0,0
38,2633,9,0
17,1126,0,0
47,3278,3,0
25,1311,4,0
48,3294,0,0
65,4748,46,1
61,4131,17,0
63,4932,20,1
57,4117,25,1
16,1199,0,1
39,2481,0,0
17,1398,1,1
16,990,0,0
40,2920,23,1
45,3050,24,0
53,3643,20,0
51,4037,0,1
56,4092,33,1
46,3220,5,1
26,2130,0,1
59,3923,27,0
23,1703,7,1
50,3841,27,1
41,2716,0,0
38,2646,3,0
56,4114,29,1
35,2296,19,0
31,2272,7,1
56,3931,35,1
62,4517,21,1
46,2834,29,0
32,2176,1,0
27,1741,9,0
30,1839,9,0
33,2438,10,1
18,1158,0,0
46,3159,17,0
21,1583,3,1
47,3113,31,0
41,2836,18,0
17,1423,0,1
31,2210,4,1
35,2543,14,1
50,3300,31,0
24,1830,7,1
32,1861,8,0
56,4367,24,1
34,2257,2,0
32,2200,0,0
21,1857,5,1
63,4562,42,1
18,1365,2,1
41,2872,7,1
24,1849,0,1
31,2196,9,1
56,3906,16,0
40,3161,11,1
52,3787,0,1
64,4344,36,0
24,1727,0,1
56,3700,37,0
31,2102,10,0
17,1181,0,0
28,2003,11,1
49,3497,31,1
29,2123,8,1
30,2101,11,1
54,3738,21,0
55,4126,35,1
57,3780,11,0
60,3833,15,0
45,3408,16,1
35,2561,9,1
16,1245,0,1
60,4476,21,1
23,1743,3,1
41,3086,8,1
45,2892,24,0
64,4358,8,0
54,3448,14,0
17,1344,0,1
36,2494,14,0
30,2286,12,1
41,2469,24,0
30,2159,9,1
16,905,0,0
50,3393,11,0
21,1786,5,1
64,4856,34,1
30,2036,7,0
23,1612,5,1
63,4432,0,1
16,838,0,0
63,4280,17,0
36,2685,14,1
44,3163,26,1
34,2079,5,0
50,3530,24,1
46,3350,25,1
16,1362,0,1
40,2804,13,1
21,1467,1,0
16,867,0,0
32,2160,0,0
57,4173,12,1
51,3435,3,0
25,1822,2,1
53,3639,10,0
34,2097,17,0
29,2228,12,1
16,1230,0,1
40,3074,12,1
64,4449,44,0
61,4246,25,0
19,1281,3,0
29,1852,5,0
17,1159,0,0
46,3073,10,0
31,2350,12,1
32,1902,4,0
46,3208,25,0
34,2192,10,0
27,2173,3,1
17,1256,1,1
48,3332,29,0
36,2248,17,0
41,2497,5,0
53,3868,22,1
44,3207,23,1
34,2597,2,1
53,3603,37,0
29,2173,12,1
37,2712,2,1
49,3166,13,0
60,4309,10,1
39,3164,0,1
20,1327,4,0
16,811,0,0
63,4482,21,1
43,2763,26,0
52,3371,2,0
65,4478,33,0
49,3734,19,1
20,1271,1,0
31,2107,8,0
54,3839,0,1
55,3934,14,1
25,1542,7,0
46,3485,26,1
49,3382,1,0
19,1306,3,0
44,3277,26,1
16,887,0,0
23,1395,2,0
56,3879,12,0
55,3786,32,0
51,3365,17,0
60,4490,19,1
48,3129,28,0
43,3171,21,1
37,2454,12,0
60,4287,11,1
47,3443,8,1
65,4760,11,1
23,1601,0,0
55,3580,38,0
49,3567,19,1
63,4432,18,1
53,3909,11,1
59,4356,2,1
32,2131,2,0
18,1125,1,0
55,3622,4,0
51,3923,30,1
60,4444,12,1
18,1321,2,1
65,4448,49,0
60,4160,14,0
58,4191,11,1
59,4107,18,0
25,1567,6,0
52,3704,1,1
53,3760,11,1
36,2246,14,0
62,4167,30,0
56,3854,25,0
38,2275,14,0
37,2763,0,1
52,3536,31,0
30,2032,7,0
26,2224,9,1
52,3448,3,0
39,2769,6,1
44,3303,12,1
45,3188,7,1
37,2536,20,0
62,4600,42,1
52,3614,23,0
51,3272,29,0
59,4074,21,0
58,4010,39,0
46,3013,16,0
41,3057,6,1
30,1986,4,0
41,3096,14,1
55,3935,18,1
34,2270,6,0
32,2336,3,1
39,2465,9,0
53,3676,20,0
61,4590,30,1
25,1339,9,0
26,1780,9,0
47,3173,5,0
52,3562,20,0
26,1690,10,0
48,3394,8,1
30,2074,10,0
22,1729,6,1
22,1490,4,0
39,2248,12,0
21,1701,3,1
16,1270,0,1
37,2646,7,1
43,2946,20,0
35,2360,9,0
35,2867,13,1
53,3521,9,0
65,4776,0,1
40,2811,16,1
43,2918,2,0
56,3616,40,0
42,3040,19,1
34,2645,8,1
58,4002,38,0
49,3120,24,0
52,3612,34,0
31,2526,0,1
29,1986,10,0
61,4222,18,0
43,2795,8,0
53,3896,17,1
23,1853,2,1
51,3505,31,0
17,1198,0,1
63,4328,31,0
21,1475,1,1
56,4176,10,1
33,2109,8,0
20,1263,2,0
63,4241,47,0
51,3496,22,0
28,1986,12,1
59,4388,37,1
28,2170,5,1
23,1599,5,0
50,3268,26,0
37,2627,12,1
59,4173,28,1
22,1529,3,0
27,1746,0,0
18,1432,0,1
51,3280,12,0
39,2519,16,0
38,2457,14,0
41,2955,1,1
52,3399,3,0
51,3787,18,1
42,2985,4,1
64,3802,0,0
64,4703,4,1
44,3330,26,1
21,1356,5,0
47,3666,9,1
27,1873,1,0
53,3456,32,0
60,4263,42,1
61,4306,3,1
54,3584,16,0
21,1298,2,0
41,2588,9,0
40,2593,5,0
27,1950,3,1
34,1812,13,0
42,2713,17,0
16,944,0,0
47,3484,12,1
56,3937,32,1
34,2296,9,0
36,2338,15,0
65,4312,9,0
17,1181,0,0
32,2163,11,0
22,1642,0,1
32,1928,12,0
26,1838,2,1
58,4032,12,0
37,2332,17,0
34,2394,12,1
47,3381,21,1
29,2209,1,1
29,2265,1,1
46,2864,9,0
17,1275,1,1
45,3020,18,0
21,1390,4,0
19,1304,0,0
20,1275,0,0
26,2197,10,1
33,2081,13,0
52,3536,36,0
18,1105,1,0
31,2323,11,1
41,2963,21,1
46,3135,1,0
21,1367,1,0
17,1093,0,0
32,2300,7,1
28,2104,12,1
45,3255,22,1
26,1632,5,0
38,2893,11,1
58,4162,37,1
33,2436,0,1
27,1632,10,0
60,4052,12,0
40,2938,11,1
19,1394,1,1
19,1406,1,1
35,2303,18,0
46,3106,29,0
35,2259,17,0
34,2563,9,1
18,952,1,0
57,3811,14,0
59,3887,8,0
65,4504,41,0
33,2534,0,1
31,1993,14,0
59,3928,32,0
20,1280,3,0
49,3437,29,1
18,1100,2,0
39,3066,12,1
40,2225,23,0
27,1899,9,1
60,3999,18,0
63,4192,46,0
54,3954,25,1
48,3264,18,0
44,2963,5,0
30,1712,0,0
36,2296,4,0
38,2685,17,1
30,2442,13,1
23,1451,1,0
39,2734,0,1
44,3253,20,1
30,2043,2,0
24,1580,1,0
56,4316,21,1
65,4816,4,1
64,4394,46,0
60,4475,26,1
51,3332,15,0
30,2318,14,1
50,3522,11,1
46,2979,3,0
22,1442,5,0
51,3782,24,1
24,1733,7,1
58,4120,39,1
60,4158,31,0
53,3466,11,0
63,4355,42,0
65,4553,12,1
33,2383,10,1
29,2202,2,1
61,4529,5,1
56,3900,15,0
33,2370,4,1
42,2808,23,0
43,3265,19,1
17,921,0,0
27,2067,5,1
56,4138,4,1
26,1802,5,0
59,3513,33,0
55,4019,25,1
44,3373,14,1
55,3891,34,1
62,4188,24,0
51,3922,20,1
19,1473,0,1
27,2059,4,1
53,3912,22,1
54,3840,26,1
19,944,0,0
28,1963,11,1
16,1212,0,1
21,1207,3,0
61,4477,30,1
53,3875,12,1
27,2086,5,1
30,2248,8,1
48,3299,23,0
16,1121,0,1
46,3398,15,1
39,2627,22,0
20,1559,4,1
43,3160,19,1
45,3311,16,1
22,2023,3,1
43,3188,13,1
19,1594,3,1
42,3035,25,1
29,1676,2,0
59,4453,9,1
35,2525,0,1
27,1577,2,0
53,3398,21,0
26,1771,5,0
35,2674,11,1
19,1289,0,0
59,4388,12,1
39,2850,7,1
19,732,2,0
31,1920,4,0
64,4357,37,0
42,3091,21,1
17,1028,1,0
54,3637,15,0
21,1608,5,1
31,2696,10,1
28,1861,5,0
56,3623,33,0
33,2263,5,0
63,4396,34,0
16,1436,0,1
26,1651,9,0
63,4108,28,0
16,1329,0,1
65,4458,34,0
52,3829,4,1
50,3395,2,0
52,3607,20,0
26,1913,8,1
20,1086,4,0
63,4546,10,1
59,4031,15,0
21,1298,2,0
20,1363,3,0
58,3883,8,0
29,1662,5,0
53,3680,35,0
21,1285,0,0
37,2420,9,0
58,4332,30,1
19,1270,1,0
30,1680,0,0
37,2443,4,0
31,2452,9,1
38,2714,3,1
18,1012,1,0
23,2130,3,1
32,1966,16,0
47,3717,6,1
37,2561,6,0
63,4359,33,0
24,1888,0,1
57,3850,30,0
52,3623,10,0
57,3848,26,0
34,2681,13,1
36,2287,16,0
45,3220,26,1
54,4086,6,1
34,2554,9,1
26,1806,0,0
51,3521,17,0
58,3898,20,0
46,3128,15,0
19,1150,0,0
54,3599,34,0
42,2850,12,0
28,1736,2,0
54,3492,26,0
34,2413,17,1
42,2824,10,0
60,3914,41,0
64,4582,38,1
35,2946,4,1
51,3532,35,0
48,2861,12,0
49,3449,9,1
16,1378,0,1
27,1959,1,1
30,2058,14,0
41,2923,11,1
64,4597,23,1
27,2031,0,1
33,2059,9,0
44,3029,8,0
48,3439,17,1
65,4464,26,0
20,1189,4,0
58,4004,33,0
30,2341,14,1
45,3387,14,1
63,3969,12,0
64,4460,30,0
65,4507,38,0
36,2520,20,1
37,2366,16,0
31,2411,15,1
33,2403,2,1
60,4016,10,0
48,3132,17,0
39,2743,1,1
24,1400,2,0
47,3346,7,1
23,1418,1,0
39,2967,9,1
51,3841,14,1
64,4147,14,0
48,3255,9,0
49,3560,20,1
25,1669,1,0
36,2513,2,0
29,2039,11,1
26,2023,0,1
59,4155,21,1
49,3349,6,0
63,4519,5,1
44,2953,15,0
63,4340,9,0
17,1310,0,1
54,3613,21,0
23,1958,4,1
21,1700,3,1
65,4392,13,0
42,2880,22,0
65,4751,15,1
55,4105,26,1
36,1995,2,0
21,1443,0,0
34,2411,13,1
17,1264,0,1
61,4083,21,0
44,3083,5,1
36,2711,2,1
60,4175,40,0
19,1245,3,0
18,1008,1,0
29,1769,13,0
49,3363,19,0
65,4404,45,0
35,2508,15,1
56,4028,8,1
16,932,0,0
43,2598,1,0
22,1864,1,1
41,3238,17,1
21,1192,2,0
37,2567,13,0
60,4088,29,0
31,2073,4,0
58,4052,4,0
27,1843,5,0
43,2908,18,0
37,2532,9,0
54,3832,9,1
30,2102,12,1
60,4098,26,0
28,2191,12,1
61,4285,17,1
47,3345,1,1
34,2319,16,0
57,4190,27,1
53,3590,37,0
19,1299,1,0
61,4224,11,0
29,1758,11,0
30,2309,10,1
16,1384,0,1
25,1894,2,1
18,1170,2,0
41,2604,16,0
59,4174,16,1
16,973,0,0
32,2111,4,0
16,1102,0,0
32,2151,1,0
19,1237,2,0
48,3492,8,1
52,3501,21,0
25,1864,8,1
45,2817,12,0
61,4530,7,1
60,4364,23,1
37,2255,5,0
16,1018,0,0
31,2303,11,1
62,4401,15,1
63,4310,45,0
52,3710,15,1
36,2360,4,0
58,3676,28,0
49,3452,22,1
32,2106,16,0
65,3913,42,0
41,3134,15,1
49,3821,29,1
48,2993,8,0
52,3433,21,0
61,4385,38,1
47,3336,19,1
24,1978,5,1
22,1594,5,1
29,1812,1,0
46,3272,29,1
43,2988,12,0
65,4258,31,0
43,2941,21,0
24,1746,7,1
19,1596,1,1
41,2789,14,0
55,4086,1,1
44,3130,6,1
28,2044,7,1
28,1628,4,0
20,1220,0,0
61,4649,42,1
33,1901,15,0
49,3334,12,0
16,1201,0,1
22,1606,3,1
39,2750,19,1
42,2605,3,0
61,4406,20,1
33,2264,13,0
37,2462,16,0
51,3640,28,1
27,1862,2,0
56,3925,24,1
29,2097,13,1
61,4278,39,1
63,4383,38,0
16,1282,0,1
36,2404,14,0
25,2038,4,1
44,3219,9,1
48,3489,25,1
52,3680,10,1
54,3945,10,1
41,2987,18,1
40,2920,22,1
34,2620,12,1
44,3285,27,1
33,2446,5,1
30,2137,9,1
54,3962,38,1
20,1457,2,1
41,2739,20,0
59,4117,34,0
55,3710,13,0
20,1350,1,0
32,2509,1,1
26,1580,1,0
57,4065,30,1
54,3960,20,1
18,1310,1,1
50,3565,18,1
46,3260,29,1
62,4569,41,1
45,2998,4,0
16,1210,0,1
17,1195,0,1
50,3193,34,0
61,4302,38,1
21,1274,2,0
58,3767,11,0
48,3270,25,0
29,2173,4,1
32,2335,8,1
38,2837,7,1
39,2748,14,1
49,3077,24,0
36,2111,15,0
48,3372,7,1
38,2417,9,0
63,4225,46,0
29,1986,0,0
54,3980,25,1
36,2317,20,0
23,1428,7,0
42,3005,21,1
46,3032,7,0
16,1325,0,1
54,3915,38,1
41,3001,21,1
47,3333,9,1
17,1292,0,1
21,1587,1,1
17,1040,0,0
52,3624,12,0
62,4400,26,1
41,2938,9,1
28,1904,4,0
27,1905,2,1
58,3951,16,0
45,3289,27,1
38,2426,15,0
44,2774,12,0
48,3178,4,0
32,2249,13,1
17,1568,1,1
30,2189,2,1
50,3423,16,0
20,1319,0,0
65,4324,31,0
31,1825,5,0
56,4119,16,1
43,3231,17,1
46,3337,18,1
24,1775,7,1
48,3479,22,1
16,1346,0,1
25,1492,7,0
46,2902,21,0
52,3564,3,0
61,4109,6,0
57,4201,5,1
37,2486,9,0
19,1438,2,1
40,2970,8,1
63,4207,8,0
26,1363,4,0
19,1574,3,1
39,2682,8,0
40,2702,16,0
33,2334,8,1
40,2578,17,0
53,3601,18,0
59,4171,37,1
60,4347,14,1
23,1508,6,0
61,4264,27,0
44,3310,13,1
63,4594,41,1
22,1587,4,1
62,4373,36,1
60,3717,26,0
47,3148,25,0
21,1722,3,1
23,1666,1,1
50,3789,33,1
17,1173,0,0
21,1600,1,1
16,1231,0,1
32,2167,7,0
44,2814,23,0
29,1889,6,0
19,1144,0,0
40,2651,24,0
31,2323,10,1
29,2207,2,1
32,2158,5,0
34,2343,4,0
27,2007,0,1
60,4370,18,1
33,2712,7,1
45,3037,1,0
36,2349,16,0
45,3035,27,0
50,3703,14,1
30,1847,2,0
57,4107,12,1
18,985,0,0
53,3723,13,1
